Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1478,0,0,0,0,0,23,0,0,0,0,0,0,0,3,598
MSitAE-JUNE-2026,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",6734,0,6680,0,0,0,3270,0,133,0,0,0,368,139,2618,0,0,576
MSitAE-JUNE-2026,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,35585,384,12465,0,0,281,14952,0,155,0,0,21,1875,2391,10471,0,0,7763
MSitAE-JUNE-2026,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7804,0,2836,0,0,0,3428,0,122,0,0,0,561,409,2418,0,0,543
MSitAE-JUNE-2026,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,8750,0,0,0,0,0,346,0,0,0,0,0,0,0,0,47
MSitAE-JUNE-2026,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1132,0,0,68,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,RVJ,NHS ENGLAND SOUTH WEST ,NORTH BRISTOL NHS TRUST,9801,0,0,0,0,0,4182,0,0,0,0,0,490,554,3053,0,0,2386
MSitAE-JUNE-2026,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,14049,0,13383,0,0,0,6127,0,647,0,0,0,714,1059,3202,0,599,520
MSitAE-JUNE-2026,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5083,0,11454,0,0,0,2474,0,12,0,0,0,103,5,1673,0,491,2444
MSitAE-JUNE-2026,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9108,0,8786,0,0,0,4284,0,74,0,0,0,402,170,2149,0,3,410
